"court","opponent","game.id","game.date","game.time","game.location","player.LastName","player.FirstName","Fg2PtAtt.","Fg2PtAttPerGame.","Fg2PtMade.","Fg2PtMadePerGame.","Fg2PtPct.","Fg3PtAtt.","Fg3PtAttPerGame.","Fg3PtMade.","Fg3PtMadePerGame.","Fg3PtPct.","FgAtt.","FgAttPerGame.","FgMade.","FgMadePerGame.","FgPct.","FtAtt.","FtAttPerGame.","FtMade.","FtMadePerGame.","FtPct.","OffReb.","OffRebPerGame.","DefReb.","DefRebPerGame.","Reb.","RebPerGame.","Ast.","AstPerGame.","Pts.","PtsPerGame.","Tov.","TovPerGame.","Stl.","StlPerGame.","Blk.","BlkPerGame.","BlkAgainst.","BlkAgainstPerGame.","Fouls.","FoulsPerGame.","FoulsDrawn.","FoulsDrawnPerGame.","FoulPers.","FoulPersPerGame.","FoulPersDrawn.","FoulPersDrawnPerGame.","FoulTech.","FoulTechPerGame.","FoulTechDrawn.","FoulTechDrawnPerGame.","FoulFlag1.","FoulFlag1PerGame.","FoulFlag1Drawn.","FoulFlag1DrawnPerGame.","FoulFlag2.","FoulFlag2PerGame.","FoulFlag2Drawn.","FoulFlag2DrawnPerGame.","Ejections.","PlusMinus.","PlusMinusPerGame.","MinSeconds.","MinSecondsPerGame.","GamesStarted."
"Home","Miami Heat","42367","2017-11-28","7:00PM","Quicken Loans Arena","James","LeBron",13,13,9,9,69.2,3,3,1,1,33.3,16,16,10,10,62.5,1,1,0,0,0,2,2,10,10,12,12,6,6,21,21,2,2,5,5,1,1,0,0,3,3,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,26,26,1706,1706,1
"Home","Memphis Grizzlies","42398","2017-12-02","7:30PM","Quicken Loans Arena","James","LeBron",19,19,13,13,68.4,3,3,0,0,0,22,22,13,13,59.1,8,8,8,8,100,0,0,2,2,2,2,12,12,34,34,5,5,0,0,1,1,1,1,9,9,0,0,1,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,2349,2349,1
"Home","Sacramento Kings","42424","2017-12-06","7:00PM","Quicken Loans Arena","James","LeBron",10,10,7,7,70,8,8,5,5,62.5,18,18,12,12,66.7,6,6,3,3,50,2,2,9,9,11,11,9,9,32,32,7,7,3,3,2,2,1,1,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2463,2463,1
"Home","Philadelphia 76ers","42449","2017-12-09","8:00PM","Quicken Loans Arena","James","LeBron",17,17,7,7,41.2,6,6,2,2,33.3,23,23,9,9,39.1,12,12,10,10,83.3,3,3,10,10,13,13,13,13,30,30,6,6,3,3,0,0,1,1,9,9,0,0,1,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,2324,2324,1
"Home","Atlanta Hawks","42466","2017-12-12","7:00PM","Quicken Loans Arena","James","LeBron",10,10,9,9,90,3,3,2,2,66.7,13,13,11,11,84.6,2,2,1,1,50,0,0,7,7,7,7,17,17,25,25,2,2,2,2,0,0,0,0,8,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,2101,2101,1
"Home","Los Angeles Lakers","42484","2017-12-14","8:00PM","Quicken Loans Arena","James","LeBron",12,12,7,7,58.3,6,6,1,1,16.7,18,18,8,8,44.4,12,12,8,8,66.7,1,1,11,11,12,12,12,12,25,25,5,5,2,2,2,2,2,2,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,2323,2323,1
"Home","Utah Jazz","42499","2017-12-16","7:30PM","Quicken Loans Arena","James","LeBron",11,11,8,8,72.7,4,4,1,1,25,15,15,9,9,60,10,10,10,10,100,0,0,11,11,11,11,10,10,29,29,5,5,1,1,0,0,0,0,7,7,0,0,2,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2208,2208,1
"Home","Chicago Bulls","42536","2017-12-21","7:00PM","Quicken Loans Arena","James","LeBron",18,18,10,10,55.6,5,5,2,2,40,23,23,12,12,52.2,8,8,8,8,100,1,1,5,5,6,6,9,9,34,34,4,4,3,3,0,0,1,1,5,5,0,0,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2346,2346,1
"Home","Portland Trail Blazers","42618","2018-01-02","7:00PM","Quicken Loans Arena","James","LeBron",15,15,10,10,66.7,2,2,0,0,0,17,17,10,10,58.8,4,4,4,4,100,1,1,5,5,6,6,8,8,24,24,3,3,4,4,1,1,3,3,5,5,0,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029,2029,1
"Home","Golden State Warriors","42715","2018-01-15","8:00PM","Quicken Loans Arena","James","LeBron",16,16,12,12,75,2,2,0,0,0,18,18,12,12,66.7,13,13,8,8,61.5,2,2,6,6,8,8,6,6,32,32,8,8,3,3,4,4,1,1,14,14,0,0,3,3,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-14,2175,2175,1
"Home","Orlando Magic","42733","2018-01-18","7:00PM","Quicken Loans Arena","James","LeBron",12,12,7,7,58.3,4,4,0,0,0,16,16,7,7,43.8,8,8,2,2,25,1,1,4,4,5,5,6,6,16,16,6,6,1,1,0,0,2,2,6,6,0,0,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,2087,2087,1
"Home","Oklahoma City Thunder","42743","2018-01-20","3:30PM","Quicken Loans Arena","James","LeBron",13,13,8,8,61.5,4,4,0,0,0,17,17,8,8,47.1,4,4,2,2,50,0,0,3,3,3,3,7,7,18,18,2,2,0,0,1,1,0,0,7,7,0,0,2,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-33,-33,2302,2302,1
"Home","Indiana Pacers","42784","2018-01-26","7:30PM","Quicken Loans Arena","James","LeBron",15,15,11,11,73.3,2,2,0,0,0,17,17,11,11,64.7,5,5,4,4,80,0,0,10,10,10,10,11,11,26,26,11,11,4,4,1,1,0,0,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2395,2395,1
"Home","Detroit Pistons","42805","2018-01-28","6:00PM","Quicken Loans Arena","James","LeBron",11,11,7,7,63.6,4,4,1,1,25,15,15,8,8,53.3,9,9,8,8,88.9,1,1,7,7,8,8,14,14,25,25,3,3,1,1,0,0,0,0,7,7,0,0,0,0,7,7,0,0,1,1,0,0,0,0,0,0,0,0,0,18,18,2268,2268,1
"Home","Miami Heat","42825","2018-01-31","7:30PM","Quicken Loans Arena","James","LeBron",15,15,7,7,46.7,6,6,1,1,16.7,21,21,8,8,38.1,11,11,7,7,63.6,2,2,9,9,11,11,5,5,24,24,7,7,1,1,0,0,1,1,9,9,0,0,1,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2297,2297,1
"Home","Houston Rockets","42848","2018-02-03","8:30PM","Quicken Loans Arena","James","LeBron",8,8,2,2,25,2,2,1,1,50,10,10,3,3,30,4,4,4,4,100,1,1,8,8,9,9,9,9,11,11,2,2,2,2,1,1,2,2,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,-17,1882,1882,1
"Home","Minnesota Timberwolves","42876","2018-02-07","8:00PM","Quicken Loans Arena","James","LeBron",15,15,11,11,73.3,7,7,5,5,71.4,22,22,16,16,72.7,2,2,0,0,0,1,1,9,9,10,10,15,15,37,37,5,5,1,1,1,1,0,0,6,6,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,2899,2899,1
"Home","Washington Wizards","42939","2018-02-22","8:00PM","Quicken Loans Arena","James","LeBron",14,14,12,12,85.7,4,4,1,1,25,18,18,13,13,72.2,9,9,5,5,55.6,1,1,8,8,9,9,8,8,32,32,4,4,2,2,0,0,1,1,8,8,0,0,2,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-10,2196,2196,1
