"court","opponent","game.id","game.date","game.time","game.location","player.LastName","player.FirstName","Fg2PtAtt.","Fg2PtAttPerGame.","Fg2PtMade.","Fg2PtMadePerGame.","Fg2PtPct.","Fg3PtAtt.","Fg3PtAttPerGame.","Fg3PtMade.","Fg3PtMadePerGame.","Fg3PtPct.","FgAtt.","FgAttPerGame.","FgMade.","FgMadePerGame.","FgPct.","FtAtt.","FtAttPerGame.","FtMade.","FtMadePerGame.","FtPct.","OffReb.","OffRebPerGame.","DefReb.","DefRebPerGame.","Reb.","RebPerGame.","Ast.","AstPerGame.","Pts.","PtsPerGame.","Tov.","TovPerGame.","Stl.","StlPerGame.","Blk.","BlkPerGame.","BlkAgainst.","BlkAgainstPerGame.","Fouls.","FoulsPerGame.","FoulsDrawn.","FoulsDrawnPerGame.","FoulPers.","FoulPersPerGame.","FoulPersDrawn.","FoulPersDrawnPerGame.","FoulTech.","FoulTechPerGame.","FoulTechDrawn.","FoulTechDrawnPerGame.","FoulFlag1.","FoulFlag1PerGame.","FoulFlag1Drawn.","FoulFlag1DrawnPerGame.","FoulFlag2.","FoulFlag2PerGame.","FoulFlag2Drawn.","FoulFlag2DrawnPerGame.","Ejections.","PlusMinus.","PlusMinusPerGame.","MinSeconds.","MinSecondsPerGame.","GamesStarted."
"Away","Atlanta Hawks","42192","2017-11-03","7:30PM","Philips Arena","Harden","James",4,4,2,2,50,11,11,6,6,54.6,15,15,8,8,53.3,10,10,7,7,70,1,1,2,2,3,3,11,11,29,29,2,2,1,1,0,0,1,1,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,1856,1856,1
"Away","Indiana Pacers","42259","2017-11-12","6:00PM","Bankers Life Fieldhouse","Harden","James",9,9,6,6,66.7,12,12,3,3,25,21,21,9,9,42.9,5,5,5,5,100,0,0,5,5,5,5,15,15,26,26,3,3,2,2,0,0,3,3,5,5,0,0,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,2014,2014,1
"Away","Phoenix Suns","42285","2017-11-16","10:30PM","Talking Stick Resort Arena","Harden","James",11,11,6,6,54.6,11,11,6,6,54.6,22,22,12,12,54.6,18,18,18,18,100,0,0,2,2,2,2,7,7,48,48,5,5,2,2,1,1,2,2,12,12,0,0,3,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,2077,2077,1
"Away","Memphis Grizzlies","42301","2017-11-18","8:00PM","FedEx Forum","Harden","James",8,8,3,3,37.5,12,12,6,6,50,20,20,9,9,45,5,5,5,5,100,0,0,5,5,5,5,7,7,29,29,3,3,3,3,0,0,1,1,8,8,0,0,3,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2147,2147,1
"Away","Los Angeles Lakers","43390","2017-12-03","9:30PM","Staples Center","Harden","James",13,13,9,9,69.2,9,9,4,4,44.4,22,22,13,13,59.1,7,7,6,6,85.7,1,1,3,3,4,4,9,9,36,36,4,4,2,2,0,0,2,2,9,9,0,0,3,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,2118,2118,1
"Away","Utah Jazz","42435","2017-12-07","10:30PM","Vivint Smart Home Arena","Harden","James",7,7,4,4,57.1,12,12,4,4,33.3,19,19,8,8,42.1,9,9,9,9,100,0,0,5,5,5,5,3,3,29,29,3,3,1,1,0,0,0,0,11,11,0,0,2,2,8,8,1,1,0,0,0,0,0,0,0,0,0,0,0,12,12,2109,2109,1
"Away","Portland Trail Blazers","42453","2017-12-09","10:00PM","Moda Center","Harden","James",22,22,12,12,54.6,7,7,4,4,57.1,29,29,16,16,55.2,14,14,12,12,85.7,1,1,7,7,8,8,3,3,48,48,2,2,3,3,0,0,1,1,11,11,0,0,2,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,2239,2239,1
"Away","Oklahoma City Thunder","42565","2017-12-25","8:00PM","Chesapeake Energy Arena","Harden","James",7,7,4,4,57.1,11,11,3,3,27.3,18,18,7,7,38.9,14,14,12,12,85.7,0,0,7,7,8,8,14,14,29,29,1,1,2,2,1,1,3,3,9,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-7,2314,2314,1
"Away","Boston Celtics","42586","2017-12-28","8:00PM","TD Garden","Harden","James",12,12,2,2,16.7,15,15,5,5,33.3,27,27,7,7,25.9,15,15,15,15,100,0,0,6,6,6,6,10,10,34,34,8,8,2,2,0,0,6,6,11,11,0,0,4,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2343,2343,1
"Away","Washington Wizards","42590","2017-12-29","7:00PM","Capital One Arena","Harden","James",10,10,6,6,60,4,4,1,1,25,14,14,7,7,50,6,6,5,5,83.3,0,0,0,0,0,0,4,4,20,20,5,5,1,1,1,1,1,1,5,5,0,0,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1765,1765,1
